iter	Passed	Remaining
327	378	776
328	379	774
329	381	773
330	381	771
331	383	771
332	384	769
333	385	768
334	386	767
335	387	765
336	388	764
337	389	762
338	390	761
339	391	759
340	392	758
341	393	756
342	394	755
343	395	754
344	396	753
345	397	752
346	398	750
347	399	749
348	400	747
349	401	746
350	402	745
351	404	743
352	404	742
353	406	741
354	407	739
355	408	738
356	409	736
357	410	736
358	411	734
359	412	733
360	413	732
361	414	731
362	416	730
363	417	728
364	418	727
365	419	726
366	421	726
367	422	725
368	423	724
369	424	723
370	425	722
371	426	720
372	428	719
373	429	718
374	430	717
375	431	716
376	432	714
377	433	713
378	434	712
379	435	711
380	437	710
381	438	708
382	439	707
383	440	705
384	441	704
385	442	703
386	443	702
387	444	701
388	445	700
389	446	698
390	447	697
391	449	696
392	450	695
393	451	694
394	452	693
395	453	691
396	454	690
397	455	689
398	456	688
399	458	687
400	459	686
401	460	685
402	461	683
403	463	683
404	464	682
405	465	680
406	466	679
407	467	678
408	468	677
409	469	676
410	471	675
411	472	673
412	473	672
413	474	671
414	475	670
415	476	669
416	477	667
417	478	666
418	479	665
419	480	664
420	482	663
421	483	662
422	484	661
423	485	660
424	486	658
425	487	657
426	489	656
427	490	655
428	491	654
429	492	652
430	493	651
431	494	650
432	496	649
433	497	648
434	498	647
435	499	646
436	500	644
437	501	643
438	502	642
439	503	641
440	504	640
441	505	638
442	507	637
443	508	636
444	509	635
445	510	634
446	511	633
447	512	631
448	514	630
449	515	629
450	516	628
451	517	627
452	518	626
453	519	625
454	520	624
455	521	622
456	523	621
457	524	620
458	525	619
459	526	618
460	527	617
461	528	615
462	530	614
463	531	613
464	532	612
465	533	611
466	534	610
467	535	608
468	536	607
469	537	606
470	539	605
471	540	604
472	541	603
473	542	602
474	543	601
475	545	599
476	546	598
477	547	598
478	548	596
479	549	595
480	550	594
481	551	593
482	552	591
483	554	590
484	555	589
485	556	588
486	557	587
487	558	586
488	559	585
489	561	583
490	562	582
491	563	581
492	564	580
493	565	579
494	566	578
495	568	577
496	569	576
497	570	575
498	572	574
499	573	573
500	574	572
501	576	571
502	577	570
503	579	569
504	580	569
505	581	568
506	583	567
507	584	566
508	586	565
509	587	564
510	588	563
511	590	562
512	591	561
513	592	560
514	594	559
515	595	558
516	596	557
517	598	556
518	599	555
519	601	555
520	602	554
521	603	552
522	605	552
523	608	552
524	610	552
525	612	551
526	613	550
527	614	549
528	615	548
529	617	547
530	618	546
531	620	545
532	621	544
533	622	543
534	624	542
535	625	541
536	626	540
537	627	539
538	629	538
539	630	537
540	631	536
541	633	534
542	634	533
543	635	532
544	636	531
545	638	530
546	639	529
547	640	528
548	641	527
549	642	525
550	644	524
551	645	523
552	646	522
553	647	521
554	648	520
555	649	518
556	650	517
557	652	516
558	653	515
559	654	514
560	655	512
561	656	511
562	657	510
563	658	509
564	660	508
565	661	506
566	662	505
567	663	504
568	664	503
569	665	501
570	666	500
571	667	499
572	668	498
573	670	497
574	671	496
575	672	495
576	674	494
577	675	493
578	676	492
579	678	491
580	679	490
581	680	488
582	682	487
583	683	486
584	684	485
585	685	484
586	687	483
587	688	482
588	689	481
589	690	480
590	691	478
591	693	477
592	694	476
593	695	475
594	696	474
595	697	473
596	699	472
597	700	470
598	701	469
599	703	468
600	704	467
601	705	466
602	707	465
603	708	464
604	709	463
605	710	462
606	712	461
607	713	459
608	714	458
609	715	457
610	717	456
611	718	455
612	719	454
613	720	452
614	721	451
615	723	450
616	724	449
617	725	448
618	726	447
619	727	446
620	729	444
621	730	443
622	731	442
623	732	441
624	734	440
625	735	439
626	736	438
627	737	437
628	739	435
629	740	434
630	741	433
631	742	432
632	744	431
633	745	430
634	746	429
635	747	427
636	748	426
637	750	425
638	751	424
639	752	423
640	753	422
641	754	420
642	755	419
643	757	418
644	758	417
645	760	416
646	761	415
647	762	414
648	763	413
649	765	411
650	766	410
651	767	409
652	769	408
653	770	407
654	771	406
655	772	405
656	774	404
657	775	403
658	776	401
659	777	400
660	778	399
661	780	398
662	781	397
663	783	396
664	784	395
665	785	393
666	786	392
667	787	391
668	789	390
669	790	389
670	791	388
671	793	387
672	794	385
673	795	384
674	796	383
675	798	382
676	799	381
677	800	380
678	802	379
679	804	378
680	805	377
681	806	376
682	807	374
683	809	373
684	810	372
685	811	371
686	813	370
687	814	369
688	816	368
689	817	367
690	818	366
691	819	364
692	821	363
693	822	362
694	824	361
695	825	360
696	826	359
697	828	358
698	830	357
699	832	356
700	833	355
701	834	354
702	835	353
703	837	352
704	839	351
705	840	349
706	841	348
707	843	347
708	844	346
709	846	345
710	847	344
711	849	343
712	850	342
713	852	341
714	854	340
715	856	339
716	857	338
717	858	337
718	860	336
719	861	335
720	863	334
721	864	332
722	865	331
723	867	330
724	868	329
725	870	328
726	871	327
727	872	325
728	873	324
729	875	323
730	877	322
731	878	321
732	879	320
733	880	319
734	882	318
735	883	316
736	884	315
737	886	314
738	888	313
739	890	312
740	894	312
741	896	311
742	899	310
743	902	310
744	904	309
745	906	308
746	909	307
747	911	307
748	913	306
749	914	304
750	917	304
751	919	303
752	921	302
753	923	301
754	925	300
755	927	299
756	929	298
757	931	297
758	933	296
759	935	295
760	937	294
761	939	293
762	941	292
763	942	291
764	944	290
765	946	289
766	947	287
767	949	286
768	950	285
769	952	284
770	953	283
771	955	282
772	957	281
773	959	280
774	961	279
775	962	277
776	964	276
777	965	275
778	967	274
779	968	273
780	970	272
781	972	271
782	973	269
783	975	268
784	977	267
785	978	266
786	979	265
787	981	263
788	982	262
789	983	261
790	985	260
791	986	259
792	988	257
793	989	256
794	991	255
795	993	254
796	994	253
797	995	252
798	997	250
799	999	249
800	1000	248
801	1002	247
802	1003	246
803	1004	244
804	1005	243
805	1007	242
806	1008	241
807	1010	240
808	1011	238
809	1013	237
810	1014	236
811	1016	235
812	1017	234
813	1019	232
814	1020	231
815	1022	230
816	1023	229
817	1024	228
818	1026	226
819	1027	225
820	1029	224
821	1030	223
822	1032	221
823	1033	220
824	1034	219
825	1035	218
826	1037	216
827	1038	215
828	1039	214
829	1040	213
830	1042	211
831	1043	210
832	1044	209
833	1046	208
834	1047	207
835	1049	205
836	1050	204
837	1051	203
838	1053	202
839	1054	200
840	1055	199
841	1057	198
842	1058	197
843	1059	195
844	1060	194
845	1062	193
846	1063	192
847	1064	190
848	1065	189
849	1067	188
850	1068	187
851	1069	185
852	1070	184
853	1071	183
854	1073	182
855	1074	180
856	1075	179
857	1076	178
858	1078	177
859	1079	175
860	1081	174
861	1082	173
862	1083	172
863	1084	170
864	1086	169
865	1087	168
866	1088	167
867	1090	165
868	1091	164
869	1092	163
870	1093	162
871	1095	160
872	1096	159
873	1097	158
874	1098	156
875	1100	155
876	1101	154
877	1102	153
878	1103	151
879	1104	150
880	1106	149
881	1107	148
882	1108	146
883	1109	145
884	1111	144
885	1112	143
886	1113	141
887	1115	140
888	1116	139
889	1117	138
890	1118	136
891	1120	135
892	1121	134
893	1122	133
894	1124	131
895	1125	130
896	1126	129
897	1128	128
898	1129	126
899	1130	125
900	1131	124
901	1132	123
902	1134	121
903	1135	120
904	1136	119
905	1138	118
906	1139	116
907	1140	115
908	1141	114
909	1143	113
910	1144	111
911	1145	110
912	1146	109
913	1148	108
914	1149	106
915	1150	105
916	1151	104
917	1153	103
918	1154	101
919	1155	100
920	1156	99
921	1158	98
922	1159	96
923	1161	95
924	1162	94
925	1163	92
926	1164	91
927	1166	90
928	1167	89
929	1169	87
930	1170	86
931	1171	85
932	1172	84
933	1174	83
934	1176	81
935	1177	80
936	1178	79
937	1179	77
938	1180	76
939	1182	75
940	1183	74
941	1185	72
942	1186	71
943	1188	70
944	1190	69
945	1193	68
946	1195	66
947	1196	65
948	1198	64
949	1199	63
950	1202	61
951	1221	61
952	1223	60
953	1227	59
954	1242	58
955	1250	57
956	1290	57
957	1293	56
958	1294	55
959	1296	54
960	1298	52
961	1300	51
962	1301	50
963	1302	48
964	1304	47
965	1311	46
966	1319	45
967	1322	43
968	1325	42
969	1327	41
970	1328	39
971	1330	38
972	1332	36
973	1333	35
974	1335	34
975	1336	32
976	1338	31
977	1339	30
978	1341	28
979	1342	27
980	1344	26
981	1346	24
982	1347	23
983	1349	21
984	1350	20
985	1351	19
986	1353	17
987	1355	16
988	1356	15
989	1357	13
990	1359	12
991	1360	10
992	1362	9
993	1364	8
994	1365	6
995	1366	5
996	1368	4
997	1369	2
998	1371	1
999	1372	0
